Lorenz X,Lorenz Y,Lorenz Z,Rossler X,Rossler Y,Rossler Z,Duffing,Logistic
-9.673597042,-10.43508485,27.51668533,-0.328,1.62,0.129,0.864,0.013746332
-9.79760274,-10.26911453,28.05293841,-0.345,1.62,0.127,0.869,0.054229482
-9.859881009,-10.0068859,28.53895365,-0.363,1.62,0.125,0.874,0.205154581
-9.85534059,-9.662048029,28.94679994,-0.38,1.62,0.123,0.879,0.652264717
-9.782929209,-9.254843667,29.25369634,-0.398,1.62,0.121,0.884,0.907261824
-9.645913651,-8.810016368,29.44419388,-0.415,1.63,0.119,0.888,0.336551226
-9.451663332,-8.354089051,29.51131916,-0.433,1.63,0.117,0.893,0.893137993
-9.210964179,-7.912568202,29.45652076,-0.45,1.63,0.115,0.897,0.381770075
-8.936986368,-7.507610706,29.28855797,-0.468,1.63,0.114,0.901,0.944086739
-8.644089835,-7.156515298,29.02169711,-0.485,1.63,0.112,0.905,0.211147872
-8.346660664,-6.871149756,28.67366502,-0.502,1.63,0.111,0.908,0.666257793
-8.058134238,-6.658196068,28.26375414,-0.52,1.63,0.109,0.912,0.889433386
-7.790296701,-6.519955368,27.81133169,-0.537,1.63,0.108,0.915,0.393366553
-7.552888021,-6.455417599,27.3348473,-0.555,1.63,0.106,0.918,0.954517232
-7.353475256,-6.46134287,26.85130806,-0.572,1.63,0.105,0.921,0.173656344
-7.197531694,-6.533181703,26.37611949,-0.589,1.63,0.104,0.923,0.573999274
-7.088645798,-6.665744529,25.92316811,-0.607,1.63,0.102,0.925,0.97809643
-7.028787895,-6.853596472,25.50503085,-0.624,1.63,0.101,0.927,0.085695215
-7.018575584,-7.091195422,25.13321911,-0.641,1.63,0.0999,0.929,0.313406179
-7.05749504,-7.372812972,24.8183886,-0.659,1.63,0.0988,0.931,0.860730984
-7.144051269,-7.692286098,24.57046423,-0.676,1.63,0.0977,0.932,0.479492629
-7.275834213,-8.042650183,24.39863962,-0.693,1.63,0.0967,0.933,0.998317791
-7.449499433,-8.415707359,24.31121681,-0.711,1.63,0.0957,0.934,0.006717517
-7.660672765,-8.80159227,24.31525659,-0.728,1.63,0.0947,0.934,0.026689569
-7.903799181,-9.188411796,24.41601908,-0.745,1.63,0.0938,0.935,0.103908943
-8.171968022,-9.562054344,24.61619431,-0.762,1.63,0.0929,0.935,0.372447497
-8.456760051,-9.906282111,24.91495877,-0.779,1.62,0.092,0.934,0.934921436
-8.748174878,-10.20322528,25.30694894,-0.797,1.62,0.0912,0.934,0.243373379
-9.034706779,-10.43437524,25.78131388,-0.814,1.62,0.0904,0.933,0.73657111
-9.303636823,-10.5821089,26.32107926,-0.831,1.62,0.0896,0.932,0.77613644
-9.541592611,-10.63166005,26.90309898,-0.848,1.61,0.0888,0.93,0.694994666
-9.735388184,-10.57329827,27.49884852,-0.865,1.61,0.0881,0.929,0.84790832
-9.873096064,-10.40432181,28.07619626,-0.882,1.61,0.0874,0.927,0.515839203
-9.945231025,-10.13038389,28.60207279,-0.899,1.61,0.0867,0.924,0.998996479
-9.94586204,-9.765719701,29.04569103,-0.916,1.6,0.086,0.922,0.004010057
-9.873441191,-9.332053466,29.3817466,-0.933,1.6,0.0853,0.919,0.015975907
-9.731166537,-8.856295194,29.59295387,-0.949,1.59,0.0847,0.916,0.062882711
-9.526781331,-8.367471566,29.67140596,-0.966,1.59,0.0841,0.912,0.235713902
-9.271832022,-7.89353848,29.61855151,-0.983,1.59,0.0835,0.909,0.720611433
-8.980523231,-7.458713504,29.44394048,-1,1.58,0.083,0.904,0.805322383
-8.668381656,-7.081761499,29.16316596,-1.02,1.58,0.0824,0.9,0.62711297
-8.350953321,-6.775366128,28.79553303,-1.03,1.57,0.0819,0.896,0.935369172
-8.04271513,-6.54644557,28.36191759,-1.05,1.57,0.0813,0.891,0.241814737
-7.756305773,-6.397104914,27.88310669,-1.07,1.56,0.0808,0.885,0.733361479
-7.502100783,-6.325878205,27.37872151,-1.08,1.56,0.0803,0.88,0.782169681
-7.288093243,-6.32896772,26.86667771,-1.1,1.55,0.0799,0.874,0.681521085
-7.120004462,-6.401286021,26.36305817,-1.11,1.55,0.0794,0.868,0.868200383
-7.001536847,-6.537204866,25.8822519,-1.13,1.54,0.0789,0.862,0.457713913
-6.934687226,-6.730990441,25.43722779,-1.15,1.54,0.0785,0.855,0.992847547
-6.9200547,-6.976950494,25.03984144,-1.16,1.53,0.0781,0.848,0.02840518
-6.957096007,-7.269340552,24.70110173,-1.18,1.52,0.0777,0.841,0.110393302
-7.044299236,-7.60208278,24.43134447,-1.2,1.52,0.0773,0.834,0.392826484
-7.179261754,-7.968351112,24.24027168,-1.21,1.51,0.0769,0.826,0.95405535
-7.358670548,-8.360077586,24.13681966,-1.23,1.5,0.0765,0.818,0.175334956
-7.578194062,-8.767442189,24.1288216,-1.24,1.5,0.0761,0.81,0.578370436
-7.832305582,-9.178424177,24.2224368,-1.26,1.49,0.0757,0.801,0.975432299
-8.114070786,-9.578515705,24.42133642,-1.27,1.48,0.0754,0.792,0.095856516
-8.414946786,-9.950722905,24.72567133,-1.29,1.48,0.075,0.783,0.346672177
-8.724655658,-10.27599361,25.13090696,-1.31,1.47,0.0747,0.774,0.905962315
-9.031208578,-10.53419714,25.62669062,-1.32,1.46,0.0744,0.764,0.340778395
-9.321160673,-10.70571961,26.19600459,-1.34,1.45,0.074,0.755,0.898593922
-9.580163012,-10.77361447,26.81492304,-1.35,1.44,0.0737,0.745,0.36449154
-9.793839084,-10.72606924,27.45328744,-1.37,1.44,0.0734,0.734,0.926549829
